text,source,weight,category
51512Q,studyd_train_subject,1.0,corpus
878705,studyd_train_subject,1.0,corpus
ATTACK,studyd_train_subject,1.0,corpus
BAYDGE,studyd_train_subject,1.0,corpus
CENTER,studyd_train_subject,1.0,corpus
DAMAGE,studyd_train_subject,1.0,corpus
FORCED,studyd_train_subject,1.0,corpus
KERIAT,studyd_train_subject,1.0,corpus
LEADER,studyd_train_subject,1.0,corpus
NCDDME,studyd_train_subject,1.0,corpus
OMSHU1,studyd_train_subject,1.0,corpus
SQSTEM,studyd_train_subject,1.0,corpus
VISION,studyd_train_subject,1.0,corpus
