text,source,weight,category
014130,studyd_train,1.0,corpus
021441,studyd_train,1.0,corpus
044466,studyd_train,1.0,corpus
056923,studyd_train,1.0,corpus
067993,studyd_train,1.0,corpus
094230,studyd_train,1.0,corpus
183787,studyd_train,1.0,corpus
208883,studyd_train,1.0,corpus
208935,studyd_train,1.0,corpus
264779,studyd_train,1.0,corpus
281851,studyd_train,1.0,corpus
288794,studyd_train,1.0,corpus
328550,studyd_train,1.0,corpus
450324,studyd_train,1.0,corpus
467984,studyd_train,1.0,corpus
470624,studyd_train,1.0,corpus
470924,studyd_train,1.0,corpus
487604,studyd_train,1.0,corpus
4\3?UPGDN,studyd_train,1.0,corpus
503057,studyd_train,1.0,corpus
51512Q,studyd_train,1.0,corpus
520C/2,studyd_train,1.0,corpus
540739,studyd_train,1.0,corpus
598524,studyd_train,1.0,corpus
607389,studyd_train,1.0,corpus
635787,studyd_train,1.0,corpus
641692,studyd_train,1.0,corpus
671808,studyd_train,1.0,corpus
695140,studyd_train,1.0,corpus
768947,studyd_train,1.0,corpus
797830,studyd_train,1.0,corpus
804386,studyd_train,1.0,corpus
869041,studyd_train,1.0,corpus
878705,studyd_train,1.0,corpus
888306,studyd_train,1.0,corpus
892225,studyd_train,1.0,corpus
8L2W46,studyd_train,1.0,corpus
900416,studyd_train,1.0,corpus
945174,studyd_train,1.0,corpus
ACCEPT,studyd_train,1.0,corpus
ACCESS,studyd_train,1.0,corpus
ACTIVE,studyd_train,1.0,corpus
ALMOST,studyd_train,1.0,corpus
AN6OVE,studyd_train,1.0,corpus
ANCOME,studyd_train,1.0,corpus
ANNUAL,studyd_train,1.0,corpus
ANYWAY,studyd_train,1.0,corpus
ATTACK,studyd_train,1.0,corpus
AUTTON,studyd_train,1.0,corpus
AVENUE,studyd_train,1.0,corpus
BACKUP,studyd_train,1.0,corpus
BAT1LE,studyd_train,1.0,corpus
BATTLE,studyd_train,1.0,corpus
BAUOHT,studyd_train,1.0,corpus
BAYDGE,studyd_train,1.0,corpus
BECAME,studyd_train,1.0,corpus
BECOME,studyd_train,1.0,corpus
BEHIND,studyd_train,1.0,corpus
BEYOND,studyd_train,1.0,corpus
BOARDS,studyd_train,1.0,corpus
BOTTOM,studyd_train,1.0,corpus
BROKEN,studyd_train,1.0,corpus
BUTTON,studyd_train,1.0,corpus
BWARDS,studyd_train,1.0,corpus
CANCEL,studyd_train,1.0,corpus
CANCER,studyd_train,1.0,corpus
CAREER,studyd_train,1.0,corpus
CATLED,studyd_train,1.0,corpus
CENTER,studyd_train,1.0,corpus
CHECKS,studyd_train,1.0,corpus
CLIENT,studyd_train,1.0,corpus
CLOSED,studyd_train,1.0,corpus
COLORS,studyd_train,1.0,corpus
COMICS,studyd_train,1.0,corpus
COUPLE,studyd_train,1.0,corpus
CREATE,studyd_train,1.0,corpus
CREDIL,studyd_train,1.0,corpus
DAMAGE,studyd_train,1.0,corpus
DEAVES,studyd_train,1.0,corpus
DESIRE,studyd_train,1.0,corpus
DETCSAVED,studyd_train,1.0,corpus
DMLMTE,studyd_train,1.0,corpus
DOBSJES,studyd_train,1.0,corpus
DOMAIN,studyd_train,1.0,corpus
DOUBLE,studyd_train,1.0,corpus
DRAGON,studyd_train,1.0,corpus
DREAMS,studyd_train,1.0,corpus
DRIVES,studyd_train,1.0,corpus
DURING,studyd_train,1.0,corpus
DZQVER,studyd_train,1.0,corpus
EASIER,studyd_train,1.0,corpus
EDITOR,studyd_train,1.0,corpus
ENERGY,studyd_train,1.0,corpus
ENGINE,studyd_train,1.0,corpus
ENTIRE,studyd_train,1.0,corpus
EPPDRT,studyd_train,1.0,corpus
EVGQNE,studyd_train,1.0,corpus
EXCEPT,studyd_train,1.0,corpus
EXCUSE,studyd_train,1.0,corpus
EXPECT,studyd_train,1.0,corpus
EXPERT,studyd_train,1.0,corpus
FAILED,studyd_train,1.0,corpus
FAIRLY,studyd_train,1.0,corpus
FALLEN,studyd_train,1.0,corpus
FAMILY,studyd_train,1.0,corpus
FELLOW,studyd_train,1.0,corpus
FILLED,studyd_train,1.0,corpus
FORCED,studyd_train,1.0,corpus
FORCES,studyd_train,1.0,corpus
FORMAT,studyd_train,1.0,corpus
FRIEFD,studyd_train,1.0,corpus
FRIENE,studyd_train,1.0,corpus
GLOBAL,studyd_train,1.0,corpus
GOPHER,studyd_train,1.0,corpus
GOTTEN,studyd_train,1.0,corpus
HELPED,studyd_train,1.0,corpus
HIDDEN,studyd_train,1.0,corpus
IGNORE,studyd_train,1.0,corpus
IMPACT,studyd_train,1.0,corpus
INDEEE,studyd_train,1.0,corpus
INTAND,studyd_train,1.0,corpus
KERIAT,studyd_train,1.0,corpus
KNIGHT,studyd_train,1.0,corpus
LEADER,studyd_train,1.0,corpus
LEAVES,studyd_train,1.0,corpus
LETTER,studyd_train,1.0,corpus
LIKELY,studyd_train,1.0,corpus
LILTLE,studyd_train,1.0,corpus
MANUAM,studyd_train,1.0,corpus
MANUTE,studyd_train,1.0,corpus
MEMORY,studyd_train,1.0,corpus
METHOD,studyd_train,1.0,corpus
MFFORT,studyd_train,1.0,corpus
MILLER,studyd_train,1.0,corpus
MINUTE,studyd_train,1.0,corpus
MODELS,studyd_train,1.0,corpus
MOMENT,studyd_train,1.0,corpus
MOVANG,studyd_train,1.0,corpus
MQSELF,studyd_train,1.0,corpus
MXPECT,studyd_train,1.0,corpus
NATOON,studyd_train,1.0,corpus
NCDDME,studyd_train,1.0,corpus
NEARL6,studyd_train,1.0,corpus
NEARLY,studyd_train,1.0,corpus
NOBODY,studyd_train,1.0,corpus
NOTICE,studyd_train,1.0,corpus
NTIOHT,studyd_train,1.0,corpus
OBTAIN,studyd_train,1.0,corpus
OMSHU1,studyd_train,1.0,corpus
ORDERS,studyd_train,1.0,corpus
OWNERS,studyd_train,1.0,corpus
PA6ING,studyd_train,1.0,corpus
PAPERS,studyd_train,1.0,corpus
PAYING,studyd_train,1.0,corpus
PEOPLE,studyd_train,1.0,corpus
PIECES,studyd_train,1.0,corpus
PLACED,studyd_train,1.0,corpus
PLACES,studyd_train,1.0,corpus
PLANER,studyd_train,1.0,corpus
PLANET,studyd_train,1.0,corpus
PLANMT,studyd_train,1.0,corpus
PLEASE,studyd_train,1.0,corpus
PORT2H,studyd_train,1.0,corpus
POSTED,studyd_train,1.0,corpus
POWER8,studyd_train,1.0,corpus
POWERS,studyd_train,1.0,corpus
POXXRSP,studyd_train,1.0,corpus
PREFER,studyd_train,1.0,corpus
PRICES,studyd_train,1.0,corpus
PROPER,studyd_train,1.0,corpus
PUBLIC,studyd_train,1.0,corpus
QNSRETER,studyd_train,1.0,corpus
RANDOM,studyd_train,1.0,corpus
RATHAR,studyd_train,1.0,corpus
READER,studyd_train,1.0,corpus
REASON,studyd_train,1.0,corpus
RECALT,studyd_train,1.0,corpus
REKENT,studyd_train,1.0,corpus
REPEAT,studyd_train,1.0,corpus
RESUME,studyd_train,1.0,corpus
RITHER,studyd_train,1.0,corpus
SAMPLE,studyd_train,1.0,corpus
SCRAPT,studyd_train,1.0,corpus
SECRET,studyd_train,1.0,corpus
SEEMED,studyd_train,1.0,corpus
SEEQNG,studyd_train,1.0,corpus
SEKRET,studyd_train,1.0,corpus
SELECT,studyd_train,1.0,corpus
SERIES,studyd_train,1.0,corpus
SHARED,studyd_train,1.0,corpus
SILVER,studyd_train,1.0,corpus
SKILLS,studyd_train,1.0,corpus
SOURCE,studyd_train,1.0,corpus
SPARED,studyd_train,1.0,corpus
SPLEEN,studyd_train,1.0,corpus
SPQRQT,studyd_train,1.0,corpus
SPREAD,studyd_train,1.0,corpus
SQSTEM,studyd_train,1.0,corpus
SQUARE,studyd_train,1.0,corpus
STARTS,studyd_train,1.0,corpus
STATED,studyd_train,1.0,corpus
STATES,studyd_train,1.0,corpus
STORES,studyd_train,1.0,corpus
SUBMI\,studyd_train,1.0,corpus
SWQ1CH,studyd_train,1.0,corpus
TARGET,studyd_train,1.0,corpus
TAUGHT,studyd_train,1.0,corpus
THINKS,studyd_train,1.0,corpus
THREAT,studyd_train,1.0,corpus
TOWARD,studyd_train,1.0,corpus
TRYING,studyd_train,1.0,corpus
TURNED,studyd_train,1.0,corpus
UEMORY,studyd_train,1.0,corpus
UNIQUE,studyd_train,1.0,corpus
USEFUL,studyd_train,1.0,corpus
VISION,studyd_train,1.0,corpus
VISUAL,studyd_train,1.0,corpus
VQSUAL,studyd_train,1.0,corpus
WANTED,studyd_train,1.0,corpus
WEAPON,studyd_train,1.0,corpus
WENOHT,studyd_train,1.0,corpus
YELLOW,studyd_train,1.0,corpus
