study,subject,session,phase,condition,file,file_name,character_index,inferred_target_code,inferred_target_label,target_flash_count,majority_count,majority_agreement,segmentation
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,D_01_SE001_Dyn_Test01.edf,1,9,I,29,7,0.2413793103448276,adaptive_currenttarget_distribution
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test02.edf,D_01_SE001_Dyn_Test02.edf,1,7,G,31,7,0.22580645161290322,adaptive_currenttarget_distribution
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test03.edf,D_01_SE001_Dyn_Test03.edf,1,1,A,37,8,0.21621621621621623,adaptive_currenttarget_distribution
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test04.edf,D_01_SE001_Dyn_Test04.edf,1,9,I,33,7,0.21212121212121213,adaptive_currenttarget_distribution
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test05.edf,D_01_SE001_Dyn_Test05.edf,1,4,D,32,7,0.21875,adaptive_currenttarget_distribution
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test06.edf,D_01_SE001_Dyn_Test06.edf,1,31,4,34,12,0.35294117647058826,adaptive_currenttarget_distribution
StudyD,D_01,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test01.edf,D_01_SE001_DynBigram_Test01.edf,1,4,D,20,7,0.35,adaptive_currenttarget_distribution
StudyD,D_01,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test02.edf,D_01_SE001_DynBigram_Test02.edf,1,9,I,24,5,0.20833333333333334,adaptive_currenttarget_distribution
StudyD,D_01,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test03.edf,D_01_SE001_DynBigram_Test03.edf,1,14,N,22,6,0.2727272727272727,adaptive_currenttarget_distribution
StudyD,D_01,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test04.edf,D_01_SE001_DynBigram_Test04.edf,1,14,N,20,4,0.2,adaptive_currenttarget_distribution
StudyD,D_01,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test05.edf,D_01_SE001_DynBigram_Test05.edf,1,5,E,23,7,0.30434782608695654,adaptive_currenttarget_distribution
StudyD,D_01,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test06.edf,D_01_SE001_DynBigram_Test06.edf,1,33,6,29,8,0.27586206896551724,adaptive_currenttarget_distribution
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train01.edf,D_01_SE001_RC_Train01.edf,1,25,Y,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train01.edf,D_01_SE001_RC_Train01.edf,2,5,E,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train01.edf,D_01_SE001_RC_Train01.edf,3,12,L,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train01.edf,D_01_SE001_RC_Train01.edf,4,12,L,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train01.edf,D_01_SE001_RC_Train01.edf,5,15,O,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train01.edf,D_01_SE001_RC_Train01.edf,6,23,W,20,20,1.0,fixed_blocks_20_target_flashes
