study,subject,session,phase,condition,file,relative_path,file_name,sfreq_hz,duration_sec,channel_count,eeg_channel_count,aux_channel_count,grid_rows,grid_cols,grid_cell_count,missing_grid_cells,event_count,target_flash_count,non_target_flash_count,target_fraction,unique_stimulus_codes,min_stimulus_code,max_stimulus_code,inferred_character_count,is_adaptive_condition,missing_event_channels
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,D_01_SE001_Dyn_Test01.edf,256.0,59.375,114,32,82,9,8,72,0,243,29,214,0.11934156378600823,17,1,17,1,True,
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test02.edf,bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test02.edf,D_01_SE001_Dyn_Test02.edf,256.0,61.5,114,32,82,9,8,72,0,260,31,229,0.11923076923076924,17,1,17,1,True,
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test03.edf,bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test03.edf,D_01_SE001_Dyn_Test03.edf,256.0,68.0,114,32,82,9,8,72,0,312,37,275,0.11858974358974358,17,1,17,1,True,
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test04.edf,bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test04.edf,D_01_SE001_Dyn_Test04.edf,256.0,61.5,114,32,82,9,8,72,0,260,33,227,0.12692307692307692,17,1,17,1,True,
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test05.edf,bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test05.edf,D_01_SE001_Dyn_Test05.edf,256.0,59.5,114,32,82,9,8,72,0,244,32,212,0.13114754098360656,17,1,17,1,True,
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test06.edf,bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test06.edf,D_01_SE001_Dyn_Test06.edf,256.0,65.875,114,32,82,9,8,72,0,295,34,261,0.1152542372881356,17,1,17,1,True,
StudyD,D_01,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test01.edf,bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test01.edf,D_01_SE001_DynBigram_Test01.edf,256.0,49.75,114,32,82,9,8,72,0,166,20,146,0.12048192771084337,17,1,17,1,True,
StudyD,D_01,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test02.edf,bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test02.edf,D_01_SE001_DynBigram_Test02.edf,256.0,53.5,114,32,82,9,8,72,0,196,24,172,0.12244897959183673,17,1,17,1,True,
StudyD,D_01,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test03.edf,bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test03.edf,D_01_SE001_DynBigram_Test03.edf,256.0,54.375,114,32,82,9,8,72,0,203,22,181,0.10837438423645321,17,1,17,1,True,
StudyD,D_01,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test04.edf,bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test04.edf,D_01_SE001_DynBigram_Test04.edf,256.0,50.375,114,32,82,9,8,72,0,171,20,151,0.11695906432748537,17,1,17,1,True,
