study,subject,session,phase,condition,file,label,row,col,target_code
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,A,1,1,1
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,B,1,2,2
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,C,1,3,3
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,D,1,4,4
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,E,1,5,5
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,F,1,6,6
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,G,1,7,7
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,H,1,8,8
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,I,2,1,9
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,J,2,2,10
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,K,2,3,11
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,L,2,4,12
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,M,2,5,13
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,N,2,6,14
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,O,2,7,15
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,P,2,8,16
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,Q,3,1,17
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,R,3,2,18
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,S,3,3,19
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,T,3,4,20
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,U,3,5,21
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,V,3,6,22
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,W,3,7,23
