study,subject,session,phase,condition,file,file_name,flag_type,detail
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test01.edf,D_01_SE001_Dyn_Test01.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 24.1%.
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test02.edf,D_01_SE001_Dyn_Test02.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 22.6%.
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test03.edf,D_01_SE001_Dyn_Test03.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 21.6%.
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test04.edf,D_01_SE001_Dyn_Test04.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 21.2%.
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test05.edf,D_01_SE001_Dyn_Test05.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 21.9%.
StudyD,D_01,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/Dyn/D_01_SE001_Dyn_Test06.edf,D_01_SE001_Dyn_Test06.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 35.3%.
StudyD,D_01,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test01.edf,D_01_SE001_DynBigram_Test01.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 35.0%.
StudyD,D_01,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test02.edf,D_01_SE001_DynBigram_Test02.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 20.8%.
StudyD,D_01,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test03.edf,D_01_SE001_DynBigram_Test03.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 27.3%.
StudyD,D_01,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test04.edf,D_01_SE001_DynBigram_Test04.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 20.0%.
StudyD,D_01,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test05.edf,D_01_SE001_DynBigram_Test05.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 30.4%.
StudyD,D_01,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Test/DynBigram/D_01_SE001_DynBigram_Test06.edf,D_01_SE001_DynBigram_Test06.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 27.6%.
StudyD,D_02,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/Dyn/D_02_SE001_Dyn_Test01.edf,D_02_SE001_Dyn_Test01.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 41.8%.
